source,event_id,enemy_id,name,blueprint_id,hp,max_hp,attack,energy_max,primary,secondary,shield,consumable,stack_summary,behavior_profile
chapter 002.json,human_station_chapter_002,vayrax_drone_002,Vayrax Drone 002,vayrax_claim_drone_001,130,130,9,260,smart_guy_focus_lance,smart_guy_calculated_rail,smart_guy_mirror_shield,smart_guy_patch_cell,smart_guy_calculated_rounds x16 (ammo); smart_guy_patch_cell x1 (consumable); shield_patch_cell x1 (shield consumable),smart_guy_tactician
chapter 003.json,human_station_chapter_003,vayrax_interceptor_001,Vayrax Interceptor,vayrax_drone_003,150,150,12,320,smart_guy_focus_lance,smart_guy_calculated_rail,smart_guy_mirror_shield,smart_guy_patch_cell,smart_guy_calculated_rounds x20 (ammo); smart_guy_patch_cell x1 (consumable); shield_patch_cell x2 (shield consumable); auto_attack_drone_test_mk1 x1 (drone consumable/item); fragmentation_pod x1 (explosive item),smart_guy_pressure
chapter 001.json,opening_wake_sequence_001,vayrax_claim_drone_001,Vayrax Claim Drone,test_smart_guy,120,120,10,180,smart_guy_focus_lance,smart_guy_calculated_rail,smart_guy_mirror_shield,smart_guy_patch_cell,smart_guy_calculated_rounds x12 (ammo); smart_guy_patch_cell x1 (consumable); shield_patch_cell x1 (shield consumable),smart_guy_balanced
guild_test_beacon_recovery_001.json,guild_test_beacon_recovery_001,event_guardian_001,Smart Guy Signal Guardian,test_smart_guy,160,160,12,5000,smart_guy_focus_lance,smart_guy_calculated_rail,smart_guy_mirror_shield,smart_guy_patch_cell,smart_guy_calculated_rounds x18 (ammo); smart_guy_patch_cell x1 (consumable); shield_patch_cell x2 (shield consumable); reinforced_barrier_mk1 x1 (shield/barrier item),smart_guy_tactician
opening_derelict_wreckage_side_001_CLEANED.json,opening_derelict_wreckage_side_001,dead_air_scavenger_drone_001,Wreckage Skimmer Drone,vayrax_claim_drone_001,115,115,8,240,smart_guy_focus_lance,smart_guy_calculated_rail,smart_guy_mirror_shield,smart_guy_patch_cell,smart_guy_calculated_rounds x14 (ammo); smart_guy_patch_cell x1 (consumable); shield_patch_cell x1 (shield consumable),smart_guy_survivor
side_vayrax_audit_needle_001.json,side_vayrax_audit_needle_001,vayrax_audit_needle_001,Vayrax Audit Needle,vayrax_claim_drone_001,142,142,10,300,smart_guy_focus_lance,smart_guy_calculated_rail,smart_guy_mirror_shield,smart_guy_patch_cell,smart_guy_calculated_rounds x18 (ammo); smart_guy_patch_cell x1 (consumable); shield_patch_cell x1 (shield consumable),smart_guy_tactician
side_vayrax_glass_laugh_001.json,side_vayrax_glass_laugh_001,vayrax_glass_laugh_001,Vayrax Glass Laugh,vayrax_claim_drone_001,150,150,13,330,smart_guy_focus_lance,smart_guy_calculated_rail,smart_guy_mirror_shield,smart_guy_patch_cell,smart_guy_calculated_rounds x18 (ammo); smart_guy_patch_cell x1 (consumable); shield_patch_cell x1 (shield consumable); fragmentation_pod x1 (explosive item),smart_guy_bomber
side_vayrax_moth_that_bites_001.json,side_vayrax_moth_that_bites_001,vayrax_moth_that_bites_001,Vayrax Moth-That-Bites,vayrax_claim_drone_001,128,128,12,360,smart_guy_focus_lance,smart_guy_calculated_rail,smart_guy_mirror_shield,smart_guy_patch_cell,smart_guy_calculated_rounds x20 (ammo); smart_guy_patch_cell x1 (consumable); shield_patch_cell x1 (shield consumable); recharge_kit x1 (energy consumable),smart_guy_pressure
side_vayrax_patch_saint_001.json,side_vayrax_patch_saint_001,vayrax_patch_saint_001,Vayrax Patch Saint,vayrax_claim_drone_001,165,165,9,320,smart_guy_focus_lance,smart_guy_calculated_rail,smart_guy_mirror_shield,smart_guy_patch_cell,smart_guy_calculated_rounds x16 (ammo); smart_guy_patch_cell x2 (consumable); shield_patch_cell x2 (shield consumable),smart_guy_survivor
side_vayrax_quiet_arithmetic_001.json,side_vayrax_quiet_arithmetic_001,vayrax_quiet_arithmetic_001,Vayrax Quiet Arithmetic,vayrax_claim_drone_001,185,185,14,420,smart_guy_focus_lance,smart_guy_calculated_rail,smart_guy_mirror_shield,smart_guy_patch_cell,smart_guy_calculated_rounds x24 (ammo); smart_guy_patch_cell x1 (consumable); shield_patch_cell x2 (shield consumable); auto_attack_drone_test_mk1 x1 (drone consumable/item),smart_guy_tactician
